ResponseID,A1_Role,A2_InstitutionType,A3_FirmSize,A4_Region,PB1_OperationalEfficiency,PB2_CustomerService,PB3_CompetitiveAdvantage,PB4_CostReduction,PB5_Innovation,PB6_NetBenefitsExceedRisks,C1_AdoptionStage,INT1_PlannedInvestment12Months,INT2_BudgetAllocated,INT3_VendorEngagement,INT4_StrategicCommitment,D1_DigitalMaturity,D2_GenAIFamiliarity,ORG1_SkilledPersonnel,ORG2_InfrastructureAndData,TMS1_LeadershipSupport,TMS2_ResourceProvision,TMS3_StrategicVision,CP1_CompetitorPressure,CP2_ClientExpectations,CP3_IndustryTrendAndPolicy,G1_BiggestMotivator,G2_ChallengesAndConcerns,G3_OtherObservations
1,Other,Commercial bank,4,Greater Accra,5,5,5,5,5,3,5,4,4,4,4,4,3,4,4,4,4,3,4,4,4,Improving efficiency,Privacy concerns,
2,Senior Functional Manager,Commercial bank,2,Greater Accra,4,5,5,3,4,4,6,5,5,3,5,4,5,5,5,4,4,5,4,4,5,Improving efficiency and reducing costs through automation# while staying competitive as AI adoption grows,Data privacy risks# accuracy of outputs# high implementation cost# and limited in-house expertise.,
3,Innovation or Digital Transformation Manager,Commercial bank,4,Greater Accra,5,4,5,4,5,5,6,5,5,5,5,4,4,4,5,4,4,5,5,5,5,,,
4,Senior Functional Manager,Commercial bank,3,Greater Accra,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,,,
5,Senior Functional Manager,Commercial bank,4,Greater Accra,4,4,4,4,4,4,2,3,3,3,4,4,3,4,4,4,4,3,4,4,4,,,
6,Senior Functional Manager,Commercial bank,4,Greater Accra,5,5,5,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,,,
7,Senior Functional Manager,Commercial bank,2,Greater Accra,5,5,5,4,5,5,4,5,4,5,5,4,3,4,4,4,5,5,5,4,5,The ability to improve efficiency,Data quality,
8,Senior Functional Manager,Commercial bank,4,Greater Accra,5,1,1,1,1,1,2,3,3,3,5,3,4,3,3,5,5,4,5,3,4,,,
9,Innovation or Digital Transformation Manager,Commercial bank,3,Greater Accra,4,4,4,3,5,4,5,5,4,3,5,5,5,5,4,4,4,3,4,4,4,Innovation# client support,Client information security,
10,Assistant manager,Commercial bank,3,Greater Accra,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,3,2,3,3,5,,Plagiarism,
11,Senior Functional Manager,Commercial bank,1,Greater Accra,5,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,Generative AI can automate repetitive tasks (like writing reports# customer support replies# data processing). It helps employees work faster and smarter# saving time.,The biggest challenges or concerns with Generative AI are: Data privacy & security Risk of exposing sensitive company or customer data. Accuracy & reliability AI can give wrong or misleading answers (“hallucinations”). Cost of implementation Setting up and maintaining AI tools can be expensive. Lack of skills Not enough trained staff to use and manage AI effectively.,
12,IT Intern,Commercial bank,3,Greater Accra,5,4,4,4,3,3,6,3,3,3,5,5,5,5,4,4,4,4,4,3,4,Efficiency,Retardness in Innovation,
13,IT intern,Commercial bank,4,Greater Accra,5,5,5,5,5,3,5,5,4,4,5,5,4,5,5,5,5,5,5,4,4,Makes work easier and simpler with a touch of innovation depending on how it is used.,That it may be used inappropriately for clients engagement.,
14,Senior Functional Manager,Commercial bank,2,Greater Accra,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,4,Streamline operations,Nothing so far,
15,Senior Functional Manager,Savings and loans company,3,Central,5,5,4,3,4,3,2,3,3,4,4,3,4,3,3,4,3,4,4,3,4,It's is effective and efficient. And it saves a lot of time,A challenge is how to ensure that staff do not rely on it for every activity# but to utilise it in helping to create unique results,
16,Senior Functional Manager,Commercial bank,2,Greater Accra,4,4,4,4,4,4,3,2,2,3,4,4,3,3,3,4,4,3,3,3,3,Mm,Mm,
17,Senior Functional Manager,Rural or community bank,3,Ashanti,4,3,4,3,4,4,2,3,4,4,4,4,3,4,4,4,4,4,4,4,4,Productivity,Cost and efficiency,
